2022-01-21 19:22:28,160 CRITICAL config_server_log.py Критическая ошибка
2022-01-21 19:22:28,160 ERROR    config_server_log.py Ошибка
2022-01-26 13:54:53,576 DEBUG    log_decorator.py Была вызвана функция server_socket c параметрами (Namespace(addr='127.0.0.1', port=7777),), {}. Вызов из модуля __main__
2022-01-26 13:55:49,807 DEBUG    log_decorator.py Была вызвана функция get_msg c параметрами (<socket.socket fd=252, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 23303)>,), {}. Вызов из модуля utils
2022-01-26 13:55:49,807 DEBUG    server.py Получено сообщение от клиента: {'action': 'presence', 'time': 1643194549.8074, 'type': 'status', 'user': 'client', 'text': {'status': 'Hello!'}}
2022-01-26 13:55:49,808 DEBUG    log_decorator.py Была вызвана функция create_response c параметрами ({'action': 'presence', 'time': 1643194549.8074, 'type': 'status', 'user': 'client', 'text': {'status': 'Hello!'}},), {}. Вызов из модуля __main__
2022-01-26 13:55:49,808 DEBUG    log_decorator.py Была вызвана функция send_msg c параметрами ('{"response": 200, "msg": "Hi client"}', <socket.socket fd=252, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 23303)>), {}. Вызов из модуля utils
2022-01-26 13:55:49,808 DEBUG    server.py Отправлен ответ клиенту: {"response": 200, "msg": "Hi client"}
2022-01-26 13:55:49,812 DEBUG    log_decorator.py Была вызвана функция get_msg c параметрами (<socket.socket fd=252, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 23304)>,), {}. Вызов из модуля utils
2022-01-26 13:55:49,812 DEBUG    server.py Получено сообщение от клиента: {'action': 'error', 'time': 1643194549.8104, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}}
2022-01-26 13:55:49,812 DEBUG    log_decorator.py Была вызвана функция create_response c параметрами ({'action': 'error', 'time': 1643194549.8104, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}},), {}. Вызов из модуля __main__
2022-01-26 13:55:49,813 DEBUG    log_decorator.py Была вызвана функция send_msg c параметрами ('{"response": 400, "error": "Wrong action, try again"}', <socket.socket fd=252, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 23304)>), {}. Вызов из модуля utils
2022-01-26 13:55:49,813 DEBUG    server.py Отправлен ответ клиенту: {"response": 400, "error": "Wrong action, try again"}
2022-01-26 14:00:22,753 INFO     server.py Запущен сервер с параметрами адресс: 127.0.0.1, порт: 7777
2022-01-26 14:00:36,625 DEBUG    server.py Получено сообщение от клиента: {'action': 'presence', 'time': 1643194836.624805, 'type': 'status', 'user': 'client', 'text': {'status': 'Hello!'}}
2022-01-26 14:00:36,626 DEBUG    server.py Отправлен ответ клиенту: {"response": 200, "msg": "Hi client"}
2022-01-26 14:00:36,629 DEBUG    server.py Получено сообщение от клиента: {'action': 'error', 'time': 1643194836.628805, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}}
2022-01-26 14:00:36,629 DEBUG    server.py Отправлен ответ клиенту: {"response": 400, "error": "Wrong action, try again"}
